Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.999,0.932,0.408
O,0.01,0.007,0.996,0.360,0.781
O,0.02,0.000,0.996,0.000,1.000
O,0.05,--,0.996,0.000,1.000
O+Q,0.005,0.007,0.999,0.932,0.403
O+Q,0.01,0.012,0.997,0.505,0.811
O+Q,0.02,0.000,0.996,0.000,0.990
O+Q,0.05,--,0.996,0.000,1.000
S,0.005,0.006,1.000,1.000,0.274
S,0.01,0.007,0.996,0.215,0.861
S,0.02,0.000,0.996,0.000,1.000
S,0.05,--,0.996,0.000,1.000
O+S,0.005,0.007,1.000,1.000,0.358
O+S,0.01,0.007,0.996,0.288,0.811
O+S,0.02,0.000,0.996,0.000,0.996
O+S,0.05,--,0.996,0.000,1.000
O+Q+S,0.005,0.007,0.999,0.932,0.407
O+Q+S,0.01,0.010,0.997,0.433,0.812
O+Q+S,0.02,0.000,0.996,0.000,0.987
O+Q+S,0.05,--,0.996,0.000,1.000
