Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.161,0.867,0.994,0.007
O,0.1,0.171,0.885,0.871,0.190
O,0.15,0.223,0.867,0.432,0.710
O,0.2,0.242,0.842,0.057,0.966
O+Q,0.05,0.166,0.956,0.990,0.043
O+Q,0.1,0.203,0.909,0.789,0.406
O+Q,0.15,0.260,0.890,0.548,0.701
O+Q,0.2,0.311,0.869,0.327,0.860
S,0.05,0.161,0.821,0.996,0.004
S,0.1,0.172,0.882,0.858,0.204
S,0.15,0.197,0.854,0.369,0.712
S,0.2,0.356,0.847,0.093,0.968
O+S,0.05,0.161,0.819,0.994,0.005
O+S,0.1,0.173,0.883,0.852,0.215
O+S,0.15,0.220,0.866,0.431,0.707
O+S,0.2,0.223,0.844,0.110,0.927
O+Q+S,0.05,0.187,0.979,0.980,0.181
O+Q+S,0.1,0.228,0.929,0.811,0.472
O+Q+S,0.15,0.286,0.912,0.656,0.685
O+Q+S,0.2,0.369,0.903,0.540,0.823
