Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.038,0.967,0.058,0.950
O,0.1,--,0.967,0.000,1.000
O,0.15,--,0.967,0.000,1.000
O,0.2,--,0.967,0.000,1.000
O+Q,0.05,0.048,0.968,0.068,0.954
O+Q,0.1,--,0.967,0.000,1.000
O+Q,0.15,--,0.967,0.000,1.000
O+Q,0.2,--,0.967,0.000,1.000
S,0.05,0.015,0.967,0.009,0.980
S,0.1,--,0.967,0.000,1.000
S,0.15,--,0.967,0.000,1.000
S,0.2,--,0.967,0.000,1.000
O+S,0.05,0.052,0.968,0.048,0.970
O+S,0.1,--,0.967,0.000,1.000
O+S,0.15,--,0.967,0.000,1.000
O+S,0.2,--,0.967,0.000,1.000
O+Q+S,0.05,0.061,0.981,0.610,0.677
O+Q+S,0.1,0.163,0.969,0.085,0.985
O+Q+S,0.15,0.000,0.967,0.000,0.999
O+Q+S,0.2,--,0.967,0.000,1.000
