Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.576,0.134,1.072,0.032,0.038,0.967,--,0.967,--,0.967,--,0.967,ref
O+Q,0.605,1.394,1.462,0.032,0.048,0.968,--,0.967,--,0.967,--,0.967,0.119
S,0.515,-3.437,-0.018,0.032,0.015,0.967,--,0.967,--,0.967,--,0.967,-0.173
O+S,0.550,-1.575,0.548,0.032,0.052,0.968,--,0.967,--,0.967,--,0.967,-0.005
O+Q+S,0.747,0.607,1.253,0.031,0.061,0.981,0.163,0.969,0.000,0.967,--,0.967,0.657
