Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,0.996,0.976,0.076
O,0.01,0.020,0.992,0.642,0.590
O,0.02,0.047,0.990,0.261,0.931
O,0.05,0.069,0.987,0.024,0.996
O+Q,0.005,0.014,0.996,0.952,0.151
O+Q,0.01,0.025,0.995,0.738,0.625
O+Q,0.02,0.038,0.990,0.308,0.898
O+Q,0.05,0.052,0.988,0.048,0.989
S,0.005,0.013,--,1.000,0.000
S,0.01,0.018,0.994,0.783,0.435
S,0.02,0.048,0.988,0.120,0.969
S,0.05,0.000,0.987,0.000,0.998
O+S,0.005,0.013,1.000,1.000,0.026
O+S,0.01,0.021,0.993,0.690,0.589
O+S,0.02,0.045,0.990,0.261,0.927
O+S,0.05,0.000,0.987,0.000,0.996
O+Q+S,0.005,0.014,0.998,0.976,0.130
O+Q+S,0.01,0.023,0.994,0.690,0.624
O+Q+S,0.02,0.037,0.990,0.308,0.896
O+Q+S,0.05,0.029,0.987,0.024,0.989
