Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.657,0.643,1.114,0.013,0.014,0.996,0.020,0.992,0.047,0.990,0.069,0.987,ref
O+Q,0.705,0.419,1.067,0.013,0.014,0.996,0.025,0.995,0.038,0.990,0.052,0.988,0.375
S,0.667,2.196,1.462,0.013,0.013,--,0.018,0.994,0.048,0.988,0.000,0.987,-0.233
O+S,0.701,1.382,1.283,0.013,0.013,1.000,0.021,0.993,0.045,0.990,0.000,0.987,0.097
O+Q+S,0.726,0.974,1.197,0.013,0.014,0.998,0.023,0.994,0.037,0.990,0.029,0.987,0.428
