Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.020,--,1.000,0.000
O,0.01,0.024,0.998,0.983,0.165
O,0.02,0.034,0.986,0.535,0.687
O,0.05,0.024,0.980,0.030,0.975
O+Q,0.005,0.021,1.000,1.000,0.007
O+Q,0.01,0.025,0.993,0.917,0.244
O+Q,0.02,0.039,0.988,0.595,0.698
O+Q,0.05,0.060,0.981,0.108,0.965
S,0.005,0.020,--,1.000,0.000
S,0.01,0.020,0.970,0.984,0.011
S,0.02,0.032,0.985,0.489,0.690
S,0.05,0.127,0.981,0.064,0.991
O+S,0.005,0.020,--,1.000,0.000
O+S,0.01,0.022,0.989,0.937,0.114
O+S,0.02,0.030,0.984,0.472,0.682
O+S,0.05,0.068,0.981,0.094,0.973
O+Q+S,0.005,0.020,--,1.000,0.000
O+Q+S,0.01,0.024,0.995,0.950,0.194
O+Q+S,0.02,0.039,0.988,0.596,0.692
O+Q+S,0.05,0.094,0.982,0.156,0.969
