Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.645,-0.308,0.904,0.020,0.020,--,0.024,0.998,0.034,0.986,0.024,0.980,ref
O+Q,0.692,0.298,1.058,0.020,0.021,1.000,0.025,0.993,0.039,0.988,0.060,0.981,0.172
S,0.588,0.011,0.989,0.020,0.020,--,0.020,0.970,0.032,0.985,0.127,0.981,-0.361
O+S,0.635,-0.148,0.947,0.020,0.020,--,0.022,0.989,0.030,0.984,0.068,0.981,-0.212
O+Q+S,0.680,0.401,1.091,0.020,0.020,--,0.024,0.995,0.039,0.988,0.094,0.982,0.252
