Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.020,--,1.000,0.000
O,0.01,0.022,0.993,0.938,0.168
O,0.02,0.036,0.989,0.652,0.645
O,0.05,0.127,0.983,0.143,0.980
O+Q,0.005,0.020,1.000,1.000,0.007
O+Q,0.01,0.025,0.997,0.969,0.220
O+Q,0.02,0.044,0.992,0.711,0.685
O+Q,0.05,0.115,0.984,0.251,0.961
S,0.005,0.020,--,1.000,0.000
S,0.01,0.020,0.978,0.984,0.015
S,0.02,0.029,0.984,0.475,0.676
S,0.05,0.102,0.981,0.031,0.995
O+S,0.005,0.020,--,1.000,0.000
O+S,0.01,0.022,0.991,0.937,0.137
O+S,0.02,0.036,0.989,0.635,0.656
O+S,0.05,0.111,0.981,0.080,0.987
O+Q+S,0.005,0.020,1.000,1.000,0.001
O+Q+S,0.01,0.024,0.998,0.984,0.180
O+Q+S,0.02,0.043,0.991,0.713,0.674
O+Q+S,0.05,0.133,0.984,0.206,0.973
