Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.009,0.998,0.823,0.532
O,0.01,0.005,0.995,0.119,0.870
O,0.02,0.000,0.995,0.000,0.996
O,0.05,--,0.995,0.000,1.000
O+Q,0.005,0.008,0.997,0.645,0.586
O+Q,0.01,0.014,0.996,0.293,0.889
O+Q,0.02,0.038,0.995,0.061,0.992
O+Q,0.05,--,0.995,0.000,1.000
S,0.005,0.005,0.995,0.471,0.553
S,0.01,0.000,0.994,0.000,0.906
S,0.02,0.000,0.995,0.000,0.983
S,0.05,0.000,0.995,0.000,0.999
O+S,0.005,0.007,0.996,0.589,0.584
O+S,0.01,0.007,0.995,0.119,0.908
O+S,0.02,0.000,0.995,0.000,0.985
O+S,0.05,--,0.995,0.000,1.000
O+Q+S,0.005,0.008,0.997,0.646,0.585
O+Q+S,0.01,0.003,0.995,0.061,0.898
O+Q+S,0.02,0.000,0.995,0.000,0.983
O+Q+S,0.05,--,0.995,0.000,1.000
