Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.028,1.000,1.000,0.002
O,0.01,0.035,0.995,0.966,0.217
O,0.02,0.053,0.993,0.861,0.554
O,0.05,0.077,0.973,0.063,0.978
O+Q,0.005,0.028,1.000,1.000,0.006
O+Q,0.01,0.036,0.995,0.952,0.261
O+Q,0.02,0.051,0.988,0.748,0.598
O+Q,0.05,0.167,0.977,0.203,0.971
S,0.005,0.028,--,1.000,0.000
S,0.01,0.028,1.000,1.000,0.006
S,0.02,0.036,0.982,0.721,0.440
S,0.05,0.000,0.972,0.000,0.994
O+S,0.005,0.028,--,1.000,0.000
O+S,0.01,0.031,0.997,0.989,0.103
O+S,0.02,0.054,0.994,0.888,0.549
O+S,0.05,0.080,0.973,0.044,0.985
O+Q+S,0.005,0.028,--,1.000,0.000
O+Q+S,0.01,0.032,0.995,0.976,0.139
O+Q+S,0.02,0.048,0.987,0.738,0.578
O+Q+S,0.05,0.102,0.974,0.115,0.971
