Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.074,0.963,0.034,0.984
O,0.1,--,0.963,0.000,1.000
O,0.15,--,0.963,0.000,1.000
O,0.2,--,0.963,0.000,1.000
O+Q,0.05,0.103,0.965,0.087,0.971
O+Q,0.1,--,0.963,0.000,1.000
O+Q,0.15,--,0.963,0.000,1.000
O+Q,0.2,--,0.963,0.000,1.000
S,0.05,0.051,0.963,0.008,0.994
S,0.1,--,0.963,0.000,1.000
S,0.15,--,0.963,0.000,1.000
S,0.2,--,0.963,0.000,1.000
O+S,0.05,0.050,0.963,0.025,0.982
O+S,0.1,--,0.963,0.000,1.000
O+S,0.15,--,0.963,0.000,1.000
O+S,0.2,--,0.963,0.000,1.000
O+Q+S,0.05,0.075,0.980,0.626,0.702
O+Q+S,0.1,0.121,0.963,0.017,0.995
O+Q+S,0.15,--,0.963,0.000,1.000
O+Q+S,0.2,--,0.963,0.000,1.000
