Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.631,1.372,1.366,0.046,0.050,--,0.050,--,0.056,0.994,0.096,0.965,ref
O+Q,0.641,0.927,1.220,0.046,0.050,--,0.050,--,0.058,0.992,0.099,0.964,0.246
S,0.538,1.292,1.338,0.047,0.050,--,0.050,--,0.050,--,0.099,0.957,-0.524
O+S,0.609,1.762,1.487,0.047,0.050,--,0.050,--,0.050,1.000,0.098,0.962,-0.347
O+Q+S,0.632,0.742,1.164,0.046,0.050,--,0.050,--,0.054,0.986,0.090,0.962,0.062
