Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.050,--,1.000,0.000
O,0.01,0.050,--,1.000,0.000
O,0.02,0.056,0.994,0.986,0.132
O,0.05,0.096,0.965,0.465,0.773
O+Q,0.005,0.050,--,1.000,0.000
O+Q,0.01,0.050,--,1.000,0.000
O+Q,0.02,0.058,0.992,0.971,0.175
O+Q,0.05,0.099,0.964,0.435,0.794
S,0.005,0.050,--,1.000,0.000
S,0.01,0.050,--,1.000,0.000
S,0.02,0.050,--,1.000,0.000
S,0.05,0.099,0.957,0.224,0.894
O+S,0.005,0.050,--,1.000,0.000
O+S,0.01,0.050,--,1.000,0.000
O+S,0.02,0.050,1.000,1.000,0.003
O+S,0.05,0.098,0.962,0.385,0.815
O+Q+S,0.005,0.050,--,1.000,0.000
O+Q+S,0.01,0.050,--,1.000,0.000
O+Q+S,0.02,0.054,0.986,0.965,0.127
O+Q+S,0.05,0.090,0.962,0.410,0.783
