Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.005,0.995,0.493,0.543
O,0.01,0.007,0.996,0.246,0.832
O,0.02,--,0.995,0.000,1.000
O,0.05,--,0.995,0.000,1.000
O+Q,0.005,0.007,0.997,0.619,0.580
O+Q,0.01,0.009,0.996,0.249,0.864
O+Q,0.02,0.000,0.995,0.000,0.987
O+Q,0.05,--,0.995,0.000,1.000
S,0.005,0.005,0.995,0.499,0.460
S,0.01,0.009,0.995,0.124,0.932
S,0.02,0.043,0.995,0.060,0.993
S,0.05,--,0.995,0.000,1.000
O+S,0.005,0.006,0.996,0.496,0.589
O+S,0.01,0.005,0.995,0.122,0.889
O+S,0.02,0.023,0.995,0.060,0.987
O+S,0.05,--,0.995,0.000,1.000
O+Q+S,0.005,0.006,0.996,0.559,0.571
O+Q+S,0.01,0.011,0.996,0.248,0.892
O+Q+S,0.02,0.019,0.995,0.060,0.985
O+Q+S,0.05,--,0.995,0.000,1.000
