Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.011,0.999,0.903,0.449
O,0.01,0.017,0.995,0.378,0.854
O,0.02,--,0.994,0.000,1.000
O,0.05,--,0.994,0.000,1.000
O+Q,0.005,0.012,0.999,0.953,0.501
O+Q,0.01,0.021,0.996,0.475,0.855
O+Q,0.02,0.060,0.994,0.096,0.990
O+Q,0.05,0.000,0.994,0.000,1.000
S,0.005,0.009,0.998,0.858,0.389
S,0.01,0.022,0.995,0.242,0.929
S,0.02,0.000,0.994,0.000,1.000
S,0.05,--,0.994,0.000,1.000
O+S,0.005,0.011,0.999,0.906,0.446
O+S,0.01,0.019,0.996,0.428,0.860
O+S,0.02,0.000,0.994,0.000,0.998
O+S,0.05,--,0.994,0.000,1.000
O+Q+S,0.005,0.012,0.999,0.953,0.484
O+Q+S,0.01,0.023,0.996,0.524,0.855
O+Q+S,0.02,0.000,0.993,0.000,0.994
O+Q+S,0.05,--,0.994,0.000,1.000
