Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.017,--,1.000,0.000
O,0.01,0.020,0.991,0.894,0.208
O,0.02,0.058,0.989,0.443,0.871
O,0.05,--,0.983,0.000,1.000
O+Q,0.005,0.017,--,1.000,0.000
O+Q,0.01,0.021,0.991,0.848,0.292
O+Q,0.02,0.044,0.988,0.442,0.828
O+Q,0.05,0.088,0.983,0.039,0.993
S,0.005,0.017,--,1.000,0.000
S,0.01,0.017,--,1.000,0.000
S,0.02,0.045,0.986,0.288,0.891
S,0.05,0.032,0.983,0.017,0.991
O+S,0.005,0.017,--,1.000,0.000
O+S,0.01,0.018,1.000,1.000,0.021
O+S,0.02,0.057,0.990,0.494,0.855
O+S,0.05,0.032,0.983,0.017,0.991
O+Q+S,0.005,0.017,--,1.000,0.000
O+Q+S,0.01,0.017,0.976,0.878,0.089
O+Q+S,0.02,0.059,0.990,0.516,0.853
O+Q+S,0.05,0.020,0.983,0.017,0.986
