Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.081,0.949,0.897,0.160
O,0.1,0.138,0.935,0.287,0.852
O,0.15,0.000,0.924,0.000,1.000
O,0.2,--,0.924,0.000,1.000
O+Q,0.05,0.100,0.967,0.847,0.374
O+Q,0.1,0.145,0.944,0.434,0.790
O+Q,0.15,0.197,0.932,0.156,0.948
O+Q,0.2,0.220,0.925,0.025,0.993
S,0.05,0.079,0.949,0.937,0.096
S,0.1,0.145,0.930,0.162,0.921
S,0.15,--,0.924,0.000,1.000
S,0.2,--,0.924,0.000,1.000
O+S,0.05,0.084,0.958,0.896,0.196
O+S,0.1,0.123,0.933,0.270,0.842
O+S,0.15,0.164,0.924,0.004,0.998
O+S,0.2,--,0.924,0.000,1.000
O+Q+S,0.05,0.119,0.980,0.888,0.456
O+Q+S,0.1,0.192,0.962,0.628,0.782
O+Q+S,0.15,0.256,0.948,0.396,0.905
O+Q+S,0.2,0.322,0.938,0.229,0.960
