Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.748,1.331,1.503,0.084,0.175,0.974,0.304,0.952,0.413,0.939,0.527,0.920,ref
O+Q,0.790,1.056,1.360,0.075,0.201,0.969,0.333,0.954,0.462,0.939,0.533,0.930,0.521
S,0.714,0.737,1.239,0.089,0.138,0.956,0.293,0.934,0.396,0.927,0.429,0.919,-0.333
O+S,0.761,1.295,1.478,0.081,0.178,0.968,0.371,0.955,0.435,0.936,0.498,0.927,0.191
O+Q+S,0.797,1.330,1.469,0.074,0.213,0.970,0.398,0.955,0.519,0.945,0.575,0.934,0.514
