Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.175,0.974,0.912,0.435
O,0.1,0.304,0.952,0.698,0.790
O,0.15,0.413,0.939,0.557,0.896
O,0.2,0.527,0.920,0.368,0.957
O+Q,0.05,0.201,0.969,0.866,0.549
O+Q,0.1,0.333,0.954,0.700,0.816
O+Q,0.15,0.462,0.939,0.545,0.917
O+Q,0.2,0.533,0.930,0.452,0.948
S,0.05,0.138,0.956,0.912,0.255
S,0.1,0.293,0.934,0.558,0.823
S,0.15,0.396,0.927,0.450,0.910
S,0.2,0.429,0.919,0.367,0.936
O+S,0.05,0.178,0.968,0.885,0.463
O+S,0.1,0.371,0.955,0.694,0.846
O+S,0.15,0.435,0.936,0.529,0.910
O+S,0.2,0.498,0.927,0.432,0.943
O+Q+S,0.05,0.213,0.970,0.863,0.581
O+Q+S,0.1,0.398,0.955,0.692,0.863
O+Q+S,0.15,0.519,0.945,0.584,0.929
O+Q+S,0.2,0.575,0.934,0.483,0.953
