Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.088,0.987,0.255,0.954
O,0.1,0.121,0.984,0.091,0.989
O,0.15,0.000,0.983,0.000,0.998
O,0.2,0.000,0.983,0.000,1.000
O+Q,0.05,0.233,0.993,0.593,0.966
O+Q,0.1,0.362,0.990,0.430,0.987
O+Q,0.15,0.453,0.989,0.376,0.992
O+Q,0.2,0.458,0.988,0.305,0.994
S,0.05,0.097,0.987,0.272,0.956
S,0.1,0.172,0.985,0.110,0.991
S,0.15,0.166,0.983,0.019,0.998
S,0.2,0.499,0.983,0.019,1.000
O+S,0.05,0.097,0.988,0.344,0.945
O+S,0.1,0.114,0.985,0.110,0.985
O+S,0.15,0.256,0.985,0.091,0.995
O+S,0.2,0.247,0.984,0.037,0.998
O+Q+S,0.05,0.212,0.993,0.611,0.961
O+Q+S,0.1,0.358,0.990,0.413,0.987
O+Q+S,0.15,0.462,0.989,0.358,0.993
O+Q+S,0.2,0.553,0.988,0.305,0.996
