Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.077,0.958,0.889,0.192
O,0.1,0.107,0.937,0.234,0.852
O,0.15,--,0.930,0.000,1.000
O,0.2,--,0.930,0.000,1.000
O+Q,0.05,0.092,0.967,0.821,0.392
O+Q,0.1,0.144,0.953,0.487,0.781
O+Q,0.15,0.172,0.937,0.155,0.944
O+Q,0.2,0.244,0.932,0.035,0.992
S,0.05,0.071,0.944,0.959,0.052
S,0.1,0.130,0.933,0.101,0.949
S,0.15,--,0.930,0.000,1.000
S,0.2,--,0.930,0.000,1.000
O+S,0.05,0.078,0.962,0.888,0.211
O+S,0.1,0.122,0.940,0.276,0.850
O+S,0.15,0.277,0.931,0.013,0.997
O+S,0.2,--,0.930,0.000,1.000
O+Q+S,0.05,0.114,0.980,0.870,0.488
O+Q+S,0.1,0.183,0.967,0.649,0.782
O+Q+S,0.15,0.234,0.953,0.411,0.898
O+Q+S,0.2,0.300,0.943,0.234,0.959
