Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.735,0.287,1.088,0.015,0.090,0.988,0.183,0.985,0.000,0.984,--,0.984,ref
O+Q,0.935,0.563,1.249,0.012,0.216,0.995,0.337,0.993,0.418,0.992,0.402,0.990,1.349
S,0.767,0.388,1.121,0.015,0.092,0.988,0.111,0.985,0.249,0.985,--,0.984,-0.186
O+S,0.767,0.243,1.084,0.015,0.083,0.988,0.189,0.987,0.255,0.986,0.490,0.985,0.247
O+Q+S,0.945,0.785,1.328,0.012,0.215,0.996,0.326,0.992,0.414,0.991,0.441,0.990,1.359
