Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.090,0.988,0.287,0.953
O,0.1,0.183,0.985,0.095,0.993
O,0.15,0.000,0.984,0.000,0.999
O,0.2,--,0.984,0.000,1.000
O+Q,0.05,0.216,0.995,0.727,0.957
O+Q,0.1,0.337,0.993,0.554,0.982
O+Q,0.15,0.418,0.992,0.479,0.989
O+Q,0.2,0.402,0.990,0.366,0.991
S,0.05,0.092,0.988,0.289,0.954
S,0.1,0.111,0.985,0.078,0.990
S,0.15,0.249,0.985,0.040,0.998
S,0.2,--,0.984,0.000,1.000
O+S,0.05,0.083,0.988,0.309,0.945
O+S,0.1,0.189,0.987,0.193,0.987
O+S,0.15,0.255,0.986,0.097,0.995
O+S,0.2,0.490,0.985,0.039,0.999
O+Q+S,0.05,0.215,0.996,0.745,0.956
O+Q+S,0.1,0.326,0.992,0.517,0.983
O+Q+S,0.15,0.414,0.991,0.441,0.990
O+Q+S,0.2,0.441,0.990,0.365,0.992
