Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.006,0.997,0.097,0.953
O,0.01,--,0.997,0.000,1.000
O,0.02,--,0.997,0.000,1.000
O,0.05,--,0.997,0.000,1.000
O+Q,0.005,0.009,0.997,0.200,0.930
O+Q,0.01,0.000,0.997,0.000,0.998
O+Q,0.02,--,0.997,0.000,1.000
O+Q,0.05,--,0.997,0.000,1.000
S,0.005,0.007,0.998,0.299,0.866
S,0.01,0.000,0.997,0.000,0.984
S,0.02,--,0.997,0.000,1.000
S,0.05,--,0.997,0.000,1.000
O+S,0.005,0.005,0.997,0.196,0.873
O+S,0.01,0.000,0.997,0.000,0.988
O+S,0.02,--,0.997,0.000,1.000
O+S,0.05,--,0.997,0.000,1.000
O+Q+S,0.005,0.009,0.998,0.396,0.866
O+Q+S,0.01,0.000,0.997,0.000,0.982
O+Q+S,0.02,0.000,0.997,0.000,1.000
O+Q+S,0.05,--,0.997,0.000,1.000
