Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.107,0.976,0.479,0.839
O,0.1,0.191,0.969,0.233,0.960
O,0.15,0.271,0.965,0.108,0.988
O,0.2,0.340,0.964,0.066,0.995
O+Q,0.05,0.186,0.984,0.629,0.889
O+Q,0.1,0.304,0.977,0.441,0.960
O+Q,0.15,0.408,0.975,0.376,0.978
O+Q,0.2,0.464,0.972,0.299,0.986
S,0.05,0.116,0.976,0.489,0.851
S,0.1,0.213,0.970,0.260,0.961
S,0.15,0.264,0.966,0.144,0.984
S,0.2,0.344,0.964,0.076,0.994
O+S,0.05,0.121,0.977,0.505,0.853
O+S,0.1,0.202,0.971,0.294,0.953
O+S,0.15,0.307,0.968,0.193,0.983
O+S,0.2,0.418,0.967,0.150,0.992
O+Q+S,0.05,0.194,0.986,0.683,0.886
O+Q+S,0.1,0.339,0.979,0.484,0.962
O+Q+S,0.15,0.455,0.976,0.409,0.980
O+Q+S,0.2,0.466,0.972,0.293,0.987
