Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.733,0.313,1.042,0.035,0.107,0.976,0.191,0.969,0.271,0.965,0.340,0.964,ref
O+Q,0.846,0.189,1.012,0.030,0.186,0.984,0.304,0.977,0.408,0.975,0.464,0.972,0.865
S,0.711,0.339,1.055,0.035,0.116,0.976,0.213,0.970,0.264,0.966,0.344,0.964,-0.128
O+S,0.738,0.263,1.029,0.034,0.121,0.977,0.202,0.971,0.307,0.968,0.418,0.967,0.290
O+Q+S,0.848,0.383,1.086,0.030,0.194,0.986,0.339,0.979,0.455,0.976,0.466,0.972,0.952
