Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.006,0.997,0.087,0.948
O,0.01,0.000,0.997,0.000,0.999
O,0.02,--,0.997,0.000,1.000
O,0.05,--,0.997,0.000,1.000
O+Q,0.005,0.007,0.997,0.093,0.954
O+Q,0.01,0.000,0.997,0.000,1.000
O+Q,0.02,--,0.997,0.000,1.000
O+Q,0.05,--,0.997,0.000,1.000
S,0.005,0.008,0.997,0.276,0.878
S,0.01,0.023,0.997,0.182,0.974
S,0.02,0.000,0.997,0.000,0.998
S,0.05,--,0.997,0.000,1.000
O+S,0.005,0.007,0.997,0.276,0.875
O+S,0.01,0.029,0.997,0.276,0.969
O+S,0.02,0.000,0.997,0.000,0.997
O+S,0.05,--,0.997,0.000,1.000
O+Q+S,0.005,0.013,0.998,0.456,0.884
O+Q+S,0.01,0.011,0.997,0.089,0.974
O+Q+S,0.02,0.000,0.997,0.000,0.998
O+Q+S,0.05,--,0.997,0.000,1.000
