Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.166,0.938,0.998,0.006
O,0.1,0.179,0.895,0.882,0.200
O,0.15,0.225,0.858,0.381,0.739
O,0.2,0.273,0.839,0.070,0.963
O+Q,0.05,0.168,0.924,0.985,0.035
O+Q,0.1,0.206,0.897,0.754,0.426
O+Q,0.15,0.232,0.873,0.513,0.664
O+Q,0.2,0.264,0.859,0.313,0.828
S,0.05,0.165,--,1.000,0.000
S,0.1,0.179,0.893,0.879,0.200
S,0.15,0.214,0.850,0.305,0.778
S,0.2,0.234,0.836,0.028,0.982
O+S,0.05,0.166,0.874,0.992,0.011
O+S,0.1,0.192,0.900,0.822,0.316
O+S,0.15,0.238,0.865,0.428,0.728
O+S,0.2,0.282,0.849,0.185,0.906
O+Q+S,0.05,0.193,0.970,0.969,0.198
O+Q+S,0.1,0.243,0.924,0.787,0.516
O+Q+S,0.15,0.289,0.902,0.618,0.699
O+Q+S,0.2,0.288,0.876,0.442,0.783
