Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.073,0.888,0.920,0.052
O,0.1,0.166,0.925,0.022,0.991
O,0.15,--,0.924,0.000,1.000
O,0.2,--,0.924,0.000,1.000
O+Q,0.05,0.076,0.928,0.934,0.070
O+Q,0.1,0.152,0.925,0.024,0.989
O+Q,0.15,--,0.924,0.000,1.000
O+Q,0.2,--,0.924,0.000,1.000
S,0.05,0.075,0.898,0.950,0.036
S,0.1,0.316,0.925,0.010,0.998
S,0.15,--,0.924,0.000,1.000
S,0.2,--,0.924,0.000,1.000
O+S,0.05,0.076,0.937,0.950,0.061
O+S,0.1,0.123,0.925,0.018,0.989
O+S,0.15,--,0.924,0.000,1.000
O+S,0.2,--,0.924,0.000,1.000
O+Q+S,0.05,0.112,0.999,0.996,0.356
O+Q+S,0.1,0.147,0.950,0.516,0.755
O+Q+S,0.15,0.162,0.926,0.047,0.980
O+Q+S,0.2,1.000,0.925,0.004,1.000
