Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.061,--,1.000,0.000
O,0.01,0.061,--,1.000,0.000
O,0.02,0.066,0.964,0.904,0.167
O,0.05,0.151,0.958,0.433,0.842
O+Q,0.005,0.061,--,1.000,0.000
O+Q,0.01,0.061,1.000,1.000,0.004
O+Q,0.02,0.074,0.990,0.968,0.211
O+Q,0.05,0.143,0.958,0.440,0.829
S,0.005,0.061,--,1.000,0.000
S,0.01,0.061,--,1.000,0.000
S,0.02,0.062,1.000,1.000,0.022
S,0.05,0.085,0.943,0.198,0.862
O+S,0.005,0.061,--,1.000,0.000
O+S,0.01,0.061,--,1.000,0.000
O+S,0.02,0.065,0.968,0.931,0.134
O+S,0.05,0.138,0.955,0.377,0.848
O+Q+S,0.005,0.061,--,1.000,0.000
O+Q+S,0.01,0.061,--,1.000,0.000
O+Q+S,0.02,0.070,0.982,0.948,0.185
O+Q+S,0.05,0.149,0.959,0.451,0.833
