Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.599,0.064,1.029,0.038,0.063,0.967,--,0.960,--,0.960,--,0.960,ref
O+Q,0.715,1.039,1.365,0.038,0.083,0.977,0.130,0.962,0.000,0.960,--,0.960,0.541
S,0.626,2.421,1.789,0.038,0.072,0.968,--,0.960,--,0.960,--,0.960,-0.007
O+S,0.638,1.092,1.365,0.038,0.065,0.969,--,0.960,--,0.960,--,0.960,0.303
O+Q+S,0.802,1.266,1.488,0.036,0.107,0.987,0.165,0.971,0.258,0.964,0.423,0.961,0.840
