Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.063,0.967,0.384,0.760
O,0.1,--,0.960,0.000,1.000
O,0.15,--,0.960,0.000,1.000
O,0.2,--,0.960,0.000,1.000
O+Q,0.05,0.083,0.977,0.595,0.726
O+Q,0.1,0.130,0.962,0.083,0.977
O+Q,0.15,0.000,0.960,0.000,0.999
O+Q,0.2,--,0.960,0.000,1.000
S,0.05,0.072,0.968,0.360,0.805
S,0.1,--,0.960,0.000,1.000
S,0.15,--,0.960,0.000,1.000
S,0.2,--,0.960,0.000,1.000
O+S,0.05,0.065,0.969,0.421,0.748
O+S,0.1,--,0.960,0.000,1.000
O+S,0.15,--,0.960,0.000,1.000
O+S,0.2,--,0.960,0.000,1.000
O+Q+S,0.05,0.107,0.987,0.774,0.730
O+Q+S,0.1,0.165,0.971,0.331,0.930
O+Q+S,0.15,0.258,0.964,0.113,0.986
O+Q+S,0.2,0.423,0.961,0.045,0.997
