Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.059,0.965,0.375,0.745
O,0.1,--,0.959,0.000,1.000
O,0.15,--,0.959,0.000,1.000
O,0.2,--,0.959,0.000,1.000
O+Q,0.05,0.073,0.972,0.523,0.717
O+Q,0.1,0.135,0.961,0.073,0.980
O+Q,0.15,0.000,0.959,0.000,1.000
O+Q,0.2,--,0.959,0.000,1.000
S,0.05,0.066,0.964,0.279,0.831
S,0.1,--,0.959,0.000,1.000
S,0.15,--,0.959,0.000,1.000
S,0.2,--,0.959,0.000,1.000
O+S,0.05,0.056,0.963,0.308,0.776
O+S,0.1,--,0.959,0.000,1.000
O+S,0.15,--,0.959,0.000,1.000
O+S,0.2,--,0.959,0.000,1.000
O+Q+S,0.05,0.100,0.982,0.692,0.732
O+Q+S,0.1,0.124,0.967,0.264,0.920
O+Q+S,0.15,0.156,0.962,0.096,0.978
O+Q+S,0.2,0.167,0.960,0.037,0.992
