Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.007,0.996,0.584,0.576
O,0.01,0.012,0.996,0.408,0.817
O,0.02,0.000,0.995,0.000,0.999
O,0.05,--,0.995,0.000,1.000
O+Q,0.005,0.008,0.997,0.586,0.633
O+Q,0.01,0.013,0.996,0.351,0.855
O+Q,0.02,0.000,0.995,0.000,0.985
O+Q,0.05,--,0.995,0.000,1.000
S,0.005,0.008,0.999,0.879,0.441
S,0.01,0.006,0.995,0.056,0.952
S,0.02,0.000,0.995,0.000,0.997
S,0.05,--,0.995,0.000,1.000
O+S,0.005,0.008,0.997,0.586,0.626
O+S,0.01,0.014,0.996,0.291,0.889
O+S,0.02,0.000,0.995,0.000,0.999
O+S,0.05,--,0.995,0.000,1.000
O+Q+S,0.005,0.008,0.997,0.589,0.635
O+Q+S,0.01,0.010,0.995,0.231,0.883
O+Q+S,0.02,0.000,0.995,0.000,0.997
O+Q+S,0.05,--,0.995,0.000,1.000
