Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.015,1.000,1.000,0.009
O,0.01,0.015,0.986,0.317,0.701
O,0.02,--,0.985,0.000,1.000
O,0.05,--,0.985,0.000,1.000
O+Q,0.005,0.015,1.000,1.000,0.036
O+Q,0.01,0.023,0.988,0.399,0.746
O+Q,0.02,0.016,0.986,0.022,0.980
O+Q,0.05,--,0.985,0.000,1.000
S,0.005,0.023,0.997,0.920,0.422
S,0.01,0.038,0.993,0.667,0.750
S,0.02,0.080,0.991,0.412,0.930
S,0.05,0.000,0.985,0.000,0.998
O+S,0.005,0.021,0.997,0.920,0.383
O+S,0.01,0.036,0.993,0.667,0.733
O+S,0.02,0.097,0.992,0.456,0.937
O+S,0.05,--,0.985,0.000,1.000
O+Q+S,0.005,0.023,0.996,0.856,0.470
O+Q+S,0.01,0.045,0.994,0.691,0.782
O+Q+S,0.02,0.071,0.990,0.341,0.934
O+Q+S,0.05,0.154,0.986,0.066,0.995
