Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.014,0.994,0.928,0.148
O,0.01,0.021,0.992,0.643,0.610
O,0.02,0.058,0.990,0.288,0.940
O,0.05,0.000,0.987,0.000,0.999
O+Q,0.005,0.016,0.998,0.977,0.197
O+Q,0.01,0.026,0.995,0.737,0.641
O+Q,0.02,0.056,0.991,0.355,0.923
O+Q,0.05,0.138,0.988,0.072,0.994
S,0.005,0.013,0.968,0.975,0.010
S,0.01,0.017,0.990,0.523,0.613
S,0.02,0.041,0.988,0.094,0.971
S,0.05,0.000,0.987,0.000,0.998
O+S,0.005,0.013,0.992,0.927,0.114
O+S,0.01,0.021,0.993,0.641,0.621
O+S,0.02,0.058,0.990,0.237,0.950
O+S,0.05,0.163,0.987,0.024,0.998
O+Q+S,0.005,0.015,1.000,1.000,0.160
O+Q+S,0.01,0.026,0.995,0.762,0.633
O+Q+S,0.02,0.051,0.990,0.284,0.931
O+Q+S,0.05,0.192,0.988,0.048,0.997
