Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.175,0.970,0.912,0.394
O,0.1,0.299,0.944,0.671,0.778
O,0.15,0.410,0.929,0.514,0.895
O,0.2,0.513,0.914,0.370,0.950
O+Q,0.05,0.211,0.967,0.870,0.539
O+Q,0.1,0.322,0.945,0.671,0.800
O+Q,0.15,0.432,0.929,0.513,0.905
O+Q,0.2,0.594,0.926,0.455,0.956
S,0.05,0.147,0.967,0.945,0.224
S,0.1,0.302,0.932,0.579,0.811
S,0.15,0.362,0.920,0.450,0.888
S,0.2,0.407,0.910,0.347,0.928
O+S,0.05,0.181,0.967,0.898,0.426
O+S,0.1,0.342,0.947,0.674,0.817
O+S,0.15,0.439,0.931,0.528,0.905
O+S,0.2,0.475,0.918,0.412,0.936
O+Q+S,0.05,0.214,0.969,0.878,0.545
O+Q+S,0.1,0.381,0.945,0.648,0.851
O+Q+S,0.15,0.483,0.933,0.534,0.919
O+Q+S,0.2,0.527,0.920,0.421,0.947
