threshold,strategy,net_benefit,model
0.02,O,0.10597159605717077,O
0.03,O,0.09714067800362414,O
0.04,O,0.08789012313020314,O
0.05,O,0.08497512240282394,O
0.06,O,0.07798168579087005,O
0.07,O,0.074074349917196,O
0.08,O,0.07137554298961041,O
0.09,O,0.06505100043346405,O
0.1,O,0.06135622194060176,O
0.11,O,0.05786615797217027,O
0.12,O,0.0525467230094457,O
0.13,O,0.04966273804101953,O
0.14,O,0.04841789109274234,O
0.15,O,0.04745937931072215,O
0.16,O,0.04378104639904376,O
0.17,O,0.04193582896064005,O
0.18,O,0.03823374210496725,O
0.19,O,0.036506800751265125,O
0.2,O,0.03494047578361756,O
0.21,O,0.035289567717505875,O
0.22,O,0.03122596352799538,O
0.23,O,0.029629340595282647,O
0.24,O,0.03048506413667532,O
0.25,O,0.03038396256417845,O
0.26,O,0.029949414924646194,O
0.27,O,0.02974143739452254,O
0.28,O,0.02985075794212714,O
0.29,O,0.02720883129486454,O
0.3,O,0.024017764078630852,O
0.31,O,0.023767364697714108,O
0.32,O,0.023890020721352545,O
0.33,O,0.023863018769174692,O
0.34,O,0.023149749982537916,O
0.35,O,0.021296953991317924,O
0.02,Treat all,0.10585171926858161,O
0.03,Treat all,0.09663369575588658,O
0.04,Treat all,0.08722363008667706,O
0.05,Treat all,0.07761545777179998,O
0.06,Treat all,0.06780285625873403,O
0.07,Treat all,0.057779231057215025,O
0.08,Treat all,0.04753770096001085,O
0.09,Treat all,0.03707108228924175,O
0.1,Treat all,0.026371872092455534,O
0.11,Treat all,0.015432230205853922,O
0.12,Treat all,0.004243960094556812,O
0.13,Treat all,-0.007201511628494278,O
0.14,Treat all,-0.01891315711254654,O
0.15,Treat all,-0.03090037072563534,O
0.16,Treat all,-0.043172994186654795,O
0.17,Treat all,-0.05574134351420487,O
0.18,Treat all,-0.06861623794730487,O
0.19,Treat all,-0.08180903100838274,O
0.2,Treat all,-0.09533164389598753,O
0.21,Treat all,-0.10919660141365822,O
0.22,Treat all,-0.12341707066255131,O
0.23,Treat all,-0.13800690274907795,O
0.24,Treat all,-0.15298067778525004,O
0.25,Treat all,-0.16835375348905335,O
0.26,Treat all,-0.18414231772539197,O
0.27,Treat all,-0.2003634453654658,O
0.28,Treat all,-0.21703515988443067,O
0.29,Treat all,-0.23417650016449298,O
0.3,Treat all,-0.2518075930239858,O
0.31,Treat all,-0.2699497320533189,O
0.32,Treat all,-0.2886254634070442,O
0.33,Treat all,-0.3078586792787912,O
0.34,Treat all,-0.3276747198739244,O
0.35,Treat all,-0.34810048479506156,O
0.02,Treat none,0.0,O
0.03,Treat none,0.0,O
0.04,Treat none,0.0,O
0.05,Treat none,0.0,O
0.06,Treat none,0.0,O
0.07,Treat none,0.0,O
0.08,Treat none,0.0,O
0.09,Treat none,0.0,O
0.1,Treat none,0.0,O
0.11,Treat none,0.0,O
0.12,Treat none,0.0,O
0.13,Treat none,0.0,O
0.14,Treat none,0.0,O
0.15,Treat none,0.0,O
0.16,Treat none,0.0,O
0.17,Treat none,0.0,O
0.18,Treat none,0.0,O
0.19,Treat none,0.0,O
0.2,Treat none,0.0,O
0.21,Treat none,0.0,O
0.22,Treat none,0.0,O
0.23,Treat none,0.0,O
0.24,Treat none,0.0,O
0.25,Treat none,0.0,O
0.26,Treat none,0.0,O
0.27,Treat none,0.0,O
0.28,Treat none,0.0,O
0.29,Treat none,0.0,O
0.3,Treat none,0.0,O
0.31,Treat none,0.0,O
0.32,Treat none,0.0,O
0.33,Treat none,0.0,O
0.34,Treat none,0.0,O
0.35,Treat none,0.0,O
0.02,Q,0.10688496776682879,Q
0.03,Q,0.0985891224880715,Q
0.04,Q,0.09250654268286135,Q
0.05,Q,0.08642650729211118,Q
0.06,Q,0.08303224072518313,Q
0.07,Q,0.07730841276637122,Q
0.08,Q,0.07014096552003413,Q
0.09,Q,0.06672172756655949,Q
0.1,Q,0.0636009516219363,Q
0.11,Q,0.06067170486124271,Q
0.12,Q,0.05774681247931915,Q
0.13,Q,0.054861854882789766,Q
0.14,Q,0.05300999844284729,Q
0.15,Q,0.04871399729760706,Q
0.16,Q,0.04899673955468466,Q
0.17,Q,0.049245107354572666,Q
0.18,Q,0.04783358144106495,Q
0.19,Q,0.0469697721226461,Q
0.2,Q,0.046707432522167386,Q
0.21,Q,0.04471463482352166,Q
0.22,Q,0.04261550160199216,Q
0.23,Q,0.04108672619089072,Q
0.24,Q,0.03981874402636795,Q
0.25,Q,0.03842208312446285,Q
0.26,Q,0.03884818019049266,Q
0.27,Q,0.0359269991420872,Q
0.28,Q,0.03311497833084583,Q
0.29,Q,0.029002054351874286,Q
0.3,Q,0.027875936657576178,Q
0.31,Q,0.027429380619067217,Q
0.32,Q,0.025999306610152075,Q
0.33,Q,0.023705138636556683,Q
0.34,Q,0.02216806445210314,Q
0.35,Q,0.021299023461181003,Q
0.02,Treat all,0.10585171926858161,Q
0.03,Treat all,0.09663369575588658,Q
0.04,Treat all,0.08722363008667706,Q
0.05,Treat all,0.07761545777179998,Q
0.06,Treat all,0.06780285625873403,Q
0.07,Treat all,0.057779231057215025,Q
0.08,Treat all,0.04753770096001085,Q
0.09,Treat all,0.03707108228924175,Q
0.1,Treat all,0.026371872092455534,Q
0.11,Treat all,0.015432230205853922,Q
0.12,Treat all,0.004243960094556812,Q
0.13,Treat all,-0.007201511628494278,Q
0.14,Treat all,-0.01891315711254654,Q
0.15,Treat all,-0.03090037072563534,Q
0.16,Treat all,-0.043172994186654795,Q
0.17,Treat all,-0.05574134351420487,Q
0.18,Treat all,-0.06861623794730487,Q
0.19,Treat all,-0.08180903100838274,Q
0.2,Treat all,-0.09533164389598753,Q
0.21,Treat all,-0.10919660141365822,Q
0.22,Treat all,-0.12341707066255131,Q
0.23,Treat all,-0.13800690274907795,Q
0.24,Treat all,-0.15298067778525004,Q
0.25,Treat all,-0.16835375348905335,Q
0.26,Treat all,-0.18414231772539197,Q
0.27,Treat all,-0.2003634453654658,Q
