Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.000,0.996,0.000,0.991
O,0.01,--,0.996,0.000,1.000
O,0.02,--,0.996,0.000,1.000
O,0.05,--,0.996,0.000,1.000
O+Q,0.005,0.000,0.996,0.000,0.965
O+Q,0.01,--,0.996,0.000,1.000
O+Q,0.02,--,0.996,0.000,1.000
O+Q,0.05,--,0.996,0.000,1.000
S,0.005,0.010,0.997,0.333,0.880
S,0.01,0.016,0.997,0.084,0.981
S,0.02,0.000,0.996,0.000,1.000
S,0.05,--,0.996,0.000,1.000
O+S,0.005,0.008,0.997,0.250,0.890
O+S,0.01,0.012,0.997,0.084,0.975
O+S,0.02,0.000,0.996,0.000,0.999
O+S,0.05,--,0.996,0.000,1.000
O+Q+S,0.005,0.016,0.998,0.498,0.885
O+Q+S,0.01,0.024,0.997,0.165,0.976
O+Q+S,0.02,0.000,0.996,0.000,0.997
O+Q+S,0.05,--,0.996,0.000,1.000
