Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.203,0.961,0.890,0.433
O,0.1,0.368,0.941,0.688,0.808
O,0.15,0.438,0.916,0.496,0.897
O,0.2,0.527,0.907,0.410,0.940
O+Q,0.05,0.245,0.956,0.837,0.582
O+Q,0.1,0.419,0.944,0.690,0.844
O+Q,0.15,0.516,0.926,0.547,0.917
O+Q,0.2,0.577,0.911,0.426,0.949
S,0.05,0.158,0.937,0.914,0.210
S,0.1,0.354,0.927,0.604,0.821
S,0.15,0.441,0.909,0.440,0.909
S,0.2,0.555,0.895,0.306,0.960
O+S,0.05,0.202,0.955,0.871,0.442
O+S,0.1,0.415,0.940,0.664,0.848
O+S,0.15,0.508,0.923,0.530,0.917
O+S,0.2,0.619,0.910,0.417,0.958
O+Q+S,0.05,0.254,0.960,0.849,0.594
O+Q+S,0.1,0.471,0.943,0.676,0.877
O+Q+S,0.15,0.557,0.927,0.546,0.929
O+Q+S,0.2,0.636,0.917,0.467,0.957
