Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.017,--,1.000,0.000
O,0.01,0.020,0.993,0.884,0.269
O,0.02,0.071,0.992,0.589,0.870
O,0.05,--,0.983,0.000,1.000
O+Q,0.005,0.017,1.000,1.000,0.002
O+Q,0.01,0.019,0.990,0.829,0.291
O+Q,0.02,0.054,0.989,0.442,0.868
O+Q,0.05,0.170,0.984,0.042,0.997
S,0.005,0.017,1.000,1.000,0.007
S,0.01,0.019,0.992,0.902,0.198
S,0.02,0.022,0.984,0.221,0.832
S,0.05,0.000,0.983,0.000,0.993
O+S,0.005,0.017,1.000,1.000,0.005
O+S,0.01,0.020,0.993,0.902,0.250
O+S,0.02,0.045,0.989,0.447,0.841
O+S,0.05,0.000,0.983,0.000,0.998
O+Q+S,0.005,0.017,1.000,1.000,0.036
O+Q+S,0.01,0.021,0.991,0.794,0.373
O+Q+S,0.02,0.047,0.990,0.511,0.823
O+Q+S,0.05,0.000,0.983,0.000,0.990
