Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.072,0.961,0.308,0.811
O,0.1,0.000,0.955,0.000,0.999
O,0.15,--,0.955,0.000,1.000
O,0.2,--,0.955,0.000,1.000
O+Q,0.05,0.112,0.979,0.654,0.753
O+Q,0.1,0.222,0.957,0.053,0.991
O+Q,0.15,0.000,0.955,0.000,1.000
O+Q,0.2,--,0.955,0.000,1.000
S,0.05,0.080,0.963,0.327,0.821
S,0.1,--,0.955,0.000,1.000
S,0.15,--,0.955,0.000,1.000
S,0.2,--,0.955,0.000,1.000
O+S,0.05,0.078,0.962,0.334,0.811
O+S,0.1,0.000,0.955,0.000,1.000
O+S,0.15,--,0.955,0.000,1.000
O+S,0.2,--,0.955,0.000,1.000
O+Q+S,0.05,0.124,0.984,0.740,0.752
O+Q+S,0.1,0.201,0.968,0.341,0.936
O+Q+S,0.15,0.305,0.960,0.133,0.986
O+Q+S,0.2,0.391,0.956,0.040,0.997
