Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.013,--,1.000,0.000
O,0.01,0.016,0.988,0.406,0.667
O,0.02,0.149,0.988,0.048,0.996
O,0.05,--,0.987,0.000,1.000
O+Q,0.005,0.013,1.000,1.000,0.014
O+Q,0.01,0.027,0.993,0.632,0.699
O+Q,0.02,0.008,0.987,0.024,0.962
O+Q,0.05,--,0.987,0.000,1.000
S,0.005,0.018,0.996,0.908,0.342
S,0.01,0.033,0.994,0.690,0.734
S,0.02,0.034,0.989,0.225,0.917
S,0.05,0.199,0.988,0.103,0.995
O+S,0.005,0.015,0.996,0.936,0.210
O+S,0.01,0.028,0.994,0.663,0.697
O+S,0.02,0.043,0.990,0.272,0.920
O+S,0.05,0.177,0.987,0.030,0.998
O+Q+S,0.005,0.017,0.996,0.908,0.310
O+Q+S,0.01,0.030,0.994,0.659,0.717
O+Q+S,0.02,0.047,0.990,0.326,0.913
O+Q+S,0.05,0.285,0.988,0.055,0.998
