Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.723,2.473,1.675,0.008,0.009,1.000,0.013,0.998,0.019,0.994,--,0.992,ref
O+Q,0.743,2.532,1.683,0.008,0.009,1.000,0.014,0.998,0.026,0.994,--,0.992,0.224
S,0.663,1.559,1.446,0.008,0.008,1.000,0.011,0.996,0.006,0.992,--,0.992,-0.415
O+S,0.737,3.222,1.846,0.008,0.008,1.000,0.014,0.998,0.022,0.994,--,0.992,-0.024
O+Q+S,0.747,2.564,1.692,0.008,0.009,1.000,0.015,0.998,0.025,0.994,0.000,0.992,0.216
