Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.009,1.000,1.000,0.131
O,0.01,0.013,0.998,0.873,0.489
O,0.02,0.019,0.994,0.294,0.881
O,0.05,--,0.992,0.000,1.000
O+Q,0.005,0.009,1.000,1.000,0.111
O+Q,0.01,0.014,0.998,0.832,0.543
O+Q,0.02,0.026,0.994,0.338,0.902
O+Q,0.05,--,0.992,0.000,1.000
S,0.005,0.008,1.000,1.000,0.004
S,0.01,0.011,0.996,0.748,0.465
S,0.02,0.006,0.992,0.042,0.946
S,0.05,--,0.992,0.000,1.000
O+S,0.005,0.008,1.000,1.000,0.062
O+S,0.01,0.014,0.998,0.873,0.505
O+S,0.02,0.022,0.994,0.250,0.913
O+S,0.05,--,0.992,0.000,1.000
O+Q+S,0.005,0.009,1.000,1.000,0.112
O+Q+S,0.01,0.015,0.998,0.873,0.539
O+Q+S,0.02,0.025,0.994,0.331,0.899
O+Q+S,0.05,0.000,0.992,0.000,1.000
