Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.025,--,1.000,0.000
O,0.01,0.033,1.000,1.000,0.245
O,0.02,0.048,0.990,0.769,0.612
O,0.05,0.052,0.976,0.078,0.964
O+Q,0.005,0.025,--,1.000,0.000
O+Q,0.01,0.032,0.996,0.961,0.257
O+Q,0.02,0.047,0.988,0.709,0.636
O+Q,0.05,0.153,0.978,0.141,0.980
S,0.005,0.025,--,1.000,0.000
S,0.01,0.026,0.991,0.984,0.043
S,0.02,0.031,0.982,0.646,0.486
S,0.05,0.080,0.975,0.012,0.996
O+S,0.005,0.025,--,1.000,0.000
O+S,0.01,0.029,0.996,0.972,0.178
O+S,0.02,0.045,0.987,0.685,0.627
O+S,0.05,0.093,0.977,0.087,0.978
O+Q+S,0.005,0.025,--,1.000,0.000
O+Q+S,0.01,0.027,0.986,0.918,0.149
O+Q+S,0.02,0.045,0.988,0.710,0.616
O+Q+S,0.05,0.109,0.977,0.112,0.976
