Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.653,-0.173,0.898,0.012,0.015,0.993,0.020,0.994,0.031,0.990,--,0.987,ref
O+Q,0.704,0.844,1.128,0.012,0.016,0.997,0.023,0.994,0.032,0.989,0.000,0.987,0.563
S,0.627,1.585,1.291,0.012,0.013,0.992,0.018,0.991,0.054,0.988,--,0.987,-0.237
O+S,0.642,-0.108,0.913,0.012,0.015,0.993,0.019,0.992,0.033,0.989,--,0.987,-0.097
O+Q+S,0.687,0.934,1.149,0.012,0.016,0.996,0.023,0.994,0.029,0.989,0.000,0.987,0.296
