Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.015,0.993,0.814,0.323
O,0.01,0.020,0.994,0.735,0.536
O,0.02,0.031,0.990,0.276,0.889
O,0.05,--,0.987,0.000,1.000
O+Q,0.005,0.016,0.997,0.922,0.292
O+Q,0.01,0.023,0.994,0.680,0.636
O+Q,0.02,0.032,0.989,0.200,0.921
O+Q,0.05,0.000,0.987,0.000,1.000
S,0.005,0.013,0.992,0.950,0.081
S,0.01,0.018,0.991,0.588,0.589
S,0.02,0.054,0.988,0.051,0.989
S,0.05,--,0.987,0.000,1.000
O+S,0.005,0.015,0.993,0.841,0.287
O+S,0.01,0.019,0.992,0.633,0.584
O+S,0.02,0.033,0.989,0.198,0.925
O+S,0.05,--,0.987,0.000,1.000
O+Q+S,0.005,0.016,0.996,0.922,0.277
O+Q+S,0.01,0.023,0.994,0.679,0.628
O+Q+S,0.02,0.029,0.989,0.175,0.925
O+Q+S,0.05,0.000,0.987,0.000,1.000
