Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.075,0.967,0.376,0.798
O,0.1,--,0.958,0.000,1.000
O,0.15,--,0.958,0.000,1.000
O,0.2,--,0.958,0.000,1.000
O+Q,0.05,0.078,0.973,0.551,0.716
O+Q,0.1,0.168,0.960,0.065,0.986
O+Q,0.15,--,0.958,0.000,1.000
O+Q,0.2,--,0.958,0.000,1.000
S,0.05,0.069,0.965,0.311,0.818
S,0.1,--,0.958,0.000,1.000
S,0.15,--,0.958,0.000,1.000
S,0.2,--,0.958,0.000,1.000
O+S,0.05,0.066,0.966,0.375,0.769
O+S,0.1,0.083,0.959,0.014,0.993
O+S,0.15,--,0.958,0.000,1.000
O+S,0.2,--,0.958,0.000,1.000
O+Q+S,0.05,0.101,0.981,0.681,0.736
O+Q+S,0.1,0.163,0.969,0.303,0.932
O+Q+S,0.15,0.223,0.963,0.123,0.981
O+Q+S,0.2,0.355,0.961,0.058,0.995
