Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.010,0.996,0.650,0.601
O,0.01,0.110,0.994,0.099,0.995
O,0.02,--,0.994,0.000,1.000
O,0.05,--,0.994,0.000,1.000
O+Q,0.005,0.012,0.997,0.643,0.648
O+Q,0.01,0.022,0.994,0.145,0.958
O+Q,0.02,0.000,0.994,0.000,0.999
O+Q,0.05,--,0.994,0.000,1.000
S,0.005,0.017,0.999,0.852,0.681
S,0.01,0.024,0.996,0.399,0.895
S,0.02,0.048,0.994,0.149,0.981
S,0.05,0.000,0.994,0.000,0.999
O+S,0.005,0.015,0.998,0.802,0.664
O+S,0.01,0.032,0.996,0.494,0.906
O+S,0.02,0.044,0.994,0.102,0.986
O+S,0.05,--,0.994,0.000,1.000
O+Q+S,0.005,0.016,0.999,0.848,0.671
O+Q+S,0.01,0.031,0.996,0.495,0.902
O+Q+S,0.02,0.059,0.995,0.147,0.985
O+Q+S,0.05,0.000,0.994,0.000,0.999
