Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.028,1.000,1.000,0.004
O,0.01,0.037,0.987,0.826,0.374
O,0.02,0.043,0.985,0.699,0.553
O,0.05,0.086,0.974,0.109,0.966
O+Q,0.005,0.028,1.000,1.000,0.007
O+Q,0.01,0.036,0.989,0.866,0.335
O+Q,0.02,0.047,0.984,0.668,0.607
O+Q,0.05,0.073,0.973,0.081,0.970
S,0.005,0.028,--,1.000,0.000
S,0.01,0.028,1.000,1.000,0.015
S,0.02,0.035,0.979,0.624,0.499
S,0.05,1.000,0.972,0.012,1.000
O+S,0.005,0.028,1.000,1.000,0.004
O+S,0.01,0.035,0.989,0.878,0.307
O+S,0.02,0.042,0.983,0.651,0.572
O+S,0.05,0.025,0.972,0.023,0.974
O+Q+S,0.005,0.028,--,1.000,0.000
O+Q+S,0.01,0.036,0.991,0.901,0.301
O+Q+S,0.02,0.044,0.983,0.647,0.591
O+Q+S,0.05,0.052,0.973,0.057,0.970
