Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.000,0.996,0.000,0.998
O,0.01,--,0.996,0.000,1.000
O,0.02,--,0.996,0.000,1.000
O,0.05,--,0.996,0.000,1.000
O+Q,0.005,0.015,0.997,0.246,0.941
O+Q,0.01,0.000,0.996,0.000,0.999
O+Q,0.02,--,0.996,0.000,1.000
O+Q,0.05,--,0.996,0.000,1.000
S,0.005,0.022,0.999,0.759,0.873
S,0.01,0.022,0.997,0.167,0.973
S,0.02,0.000,0.996,0.000,0.998
S,0.05,--,0.996,0.000,1.000
O+S,0.005,0.022,0.999,0.759,0.874
O+S,0.01,0.029,0.997,0.167,0.979
O+S,0.02,0.000,0.996,0.000,0.999
O+S,0.05,--,0.996,0.000,1.000
O+Q+S,0.005,0.022,0.999,0.752,0.875
O+Q+S,0.01,0.048,0.998,0.423,0.969
O+Q+S,0.02,0.092,0.997,0.081,0.997
O+Q+S,0.05,--,0.996,0.000,1.000
