Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.130,0.979,0.512,0.869
O,0.1,0.145,0.969,0.209,0.953
O,0.15,0.209,0.967,0.129,0.981
O,0.2,0.235,0.965,0.070,0.991
O+Q,0.05,0.205,0.988,0.706,0.896
O+Q,0.1,0.339,0.982,0.536,0.960
O+Q,0.15,0.474,0.980,0.476,0.980
O+Q,0.2,0.599,0.978,0.408,0.990
S,0.05,0.128,0.979,0.513,0.867
S,0.1,0.254,0.973,0.292,0.967
S,0.15,0.342,0.969,0.171,0.987
S,0.2,0.451,0.965,0.062,0.997
O+S,0.05,0.141,0.980,0.541,0.874
O+S,0.1,0.233,0.975,0.347,0.956
O+S,0.15,0.302,0.971,0.233,0.979
O+S,0.2,0.298,0.967,0.128,0.988
O+Q+S,0.05,0.215,0.989,0.740,0.897
O+Q+S,0.1,0.349,0.982,0.546,0.961
O+Q+S,0.15,0.443,0.979,0.451,0.978
O+Q+S,0.2,0.595,0.976,0.374,0.990
