Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@0%,NPV@0%,PPV@1%,NPV@1%,PPV@2%,NPV@2%,PPV@5%,NPV@5%,NRI
O,0.684,0.320,1.112,0.009,0.010,1.000,0.016,0.995,0.024,0.992,0.060,0.991,ref
O+Q,0.776,1.202,1.321,0.009,0.012,1.000,0.020,0.997,0.036,0.993,0.000,0.990,0.251
S,0.593,-0.113,1.011,0.009,0.010,1.000,0.012,0.993,0.030,0.992,0.000,0.990,-0.399
O+S,0.672,0.210,1.087,0.009,0.010,1.000,0.015,0.995,0.024,0.992,0.000,0.990,-0.220
O+Q+S,0.766,1.185,1.319,0.009,0.011,1.000,0.018,0.996,0.024,0.992,0.000,0.990,0.597
