Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.010,1.000,1.000,0.074
O,0.01,0.016,0.995,0.710,0.569
O,0.02,0.024,0.992,0.225,0.912
O,0.05,0.060,0.991,0.033,0.995
O+Q,0.005,0.012,1.000,1.000,0.180
O+Q,0.01,0.020,0.997,0.838,0.614
O+Q,0.02,0.036,0.993,0.386,0.902
O+Q,0.05,0.000,0.990,0.000,0.990
S,0.005,0.010,1.000,1.000,0.003
S,0.01,0.012,0.993,0.614,0.521
S,0.02,0.030,0.992,0.161,0.949
S,0.05,0.000,0.990,0.000,0.998
O+S,0.005,0.010,1.000,1.000,0.035
O+S,0.01,0.015,0.995,0.676,0.581
O+S,0.02,0.024,0.992,0.225,0.913
O+S,0.05,0.000,0.990,0.000,0.995
O+Q+S,0.005,0.011,1.000,1.000,0.126
O+Q+S,0.01,0.018,0.996,0.773,0.602
O+Q+S,0.02,0.024,0.992,0.259,0.900
O+Q+S,0.05,0.000,0.990,0.000,0.992
