n,min_risk,max_risk,observed_event_rate,mean_predicted_risk
16119.827862139911,0.0011530506105427,0.0998927607688863,0.018903841464425766,0.01950069875003629
528.3062878170284,0.100085042939332,0.199243348107495,0.1605395092388691,0.13664977624254948
147.54463023984366,0.2006198895315753,0.2969599133357168,0.33564137908633834,0.2400927480950918
65.84298408359237,0.3003475553986123,0.3994463400343628,0.6005841395770957,0.344608246230791
48.9399678123721,0.4008747264999286,0.4980625999582596,0.4382070466117254,0.45180425309848077
45.133641647730215,0.5046453406062729,0.5989683092880737,0.5497427900506737,0.5473483456534527
45.82661938624417,0.6012284330314757,0.6991769390381145,0.7391479163224491,0.6477923908669792
29.402784408236617,0.7016083699506047,0.7986369631610167,0.7154086398016163,0.752433478336458
24.388525200555286,0.803485211364971,0.8916144677969748,0.6568969078880847,0.8442686713467268
9.786697264519475,0.9030989490141224,0.9620747927361628,0.7557098409871621,0.9279466820675321
