n,min_risk,max_risk,observed_event_rate,mean_predicted_risk
16106.460209174127,0.002560426151517,0.0998095969282581,0.01823801179092005,0.019625039596488543
549.3992015153672,0.1000681670966938,0.1992150573007549,0.19929613351589576,0.14185522451590274
148.57180493905943,0.2003759153680478,0.2995477480883243,0.3160967664256615,0.24468594881334157
69.29722477315885,0.3024094390192592,0.3992815739620101,0.43074057669739413,0.3392809844361713
49.15415825167226,0.400311267150274,0.4999185054854003,0.56225179630845,0.44870878904685974
48.16440541613171,0.5009610230274276,0.5998366742816686,0.5532563042617159,0.5463107609069179
32.72400757161485,0.6070068053182085,0.6992076922300515,0.7442923703630302,0.6564192186992845
24.835700073035074,0.7027759121209843,0.7949301418065691,0.8074711947777362,0.747908644253061
25.397937481847507,0.8063904389746944,0.8985832633934637,0.6705331519797413,0.8567529738139008
10.995350804019331,0.9026936956093888,0.9535264832301612,0.6738448085595392,0.9188076027452092
