Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.052,0.989,0.226,0.943
O,0.1,0.182,0.988,0.158,0.990
O,0.15,0.244,0.987,0.023,0.999
O,0.2,0.327,0.987,0.023,0.999
O+Q,0.05,0.155,0.994,0.584,0.956
O+Q,0.1,0.304,0.993,0.473,0.985
O+Q,0.15,0.377,0.992,0.427,0.990
O+Q,0.2,0.417,0.992,0.405,0.992
S,0.05,0.062,0.989,0.226,0.953
S,0.1,0.111,0.988,0.135,0.985
S,0.15,0.069,0.987,0.023,0.996
S,0.2,0.000,0.986,0.000,0.999
O+S,0.05,0.066,0.990,0.293,0.943
O+S,0.1,0.088,0.988,0.112,0.984
O+S,0.15,0.214,0.988,0.090,0.995
O+S,0.2,0.322,0.987,0.045,0.999
O+Q+S,0.05,0.157,0.995,0.629,0.954
O+Q+S,0.1,0.284,0.993,0.495,0.983
O+Q+S,0.15,0.388,0.992,0.449,0.990
O+Q+S,0.2,0.388,0.991,0.359,0.992
