Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.077,0.892,0.933,0.047
O,0.1,1.000,0.922,0.008,1.000
O,0.15,--,0.922,0.000,1.000
O,0.2,--,0.922,0.000,1.000
O+Q,0.05,0.075,0.884,0.879,0.079
O+Q,0.1,0.061,0.921,0.023,0.970
O+Q,0.15,--,0.922,0.000,1.000
O+Q,0.2,--,0.922,0.000,1.000
S,0.05,0.078,0.918,0.943,0.054
S,0.1,0.039,0.921,0.004,0.991
S,0.15,--,0.922,0.000,1.000
S,0.2,--,0.922,0.000,1.000
O+S,0.05,0.080,0.954,0.974,0.047
O+S,0.1,0.050,0.921,0.009,0.985
O+S,0.15,--,0.922,0.000,1.000
O+S,0.2,--,0.922,0.000,1.000
O+Q+S,0.05,0.114,1.000,1.000,0.340
O+Q+S,0.1,0.118,0.944,0.549,0.650
O+Q+S,0.15,0.261,0.926,0.078,0.981
O+Q+S,0.2,0.278,0.922,0.008,0.998
