Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.05,0.085,0.953,0.906,0.165
O,0.1,0.104,0.924,0.144,0.894
O,0.15,0.184,0.921,0.012,0.996
O,0.2,--,0.921,0.000,1.000
O+Q,0.05,0.106,0.967,0.849,0.383
O+Q,0.1,0.187,0.950,0.508,0.811
O+Q,0.15,0.244,0.928,0.120,0.968
O+Q,0.2,0.349,0.922,0.011,0.998
S,0.05,0.085,0.953,0.909,0.157
S,0.1,0.141,0.927,0.168,0.912
S,0.15,1.000,0.921,0.004,1.000
S,0.2,--,0.921,0.000,1.000
O+S,0.05,0.085,0.946,0.874,0.189
O+S,0.1,0.145,0.930,0.219,0.889
O+S,0.15,0.070,0.921,0.004,0.996
O+S,0.2,--,0.921,0.000,1.000
O+Q+S,0.05,0.130,0.980,0.882,0.491
O+Q+S,0.1,0.211,0.963,0.649,0.791
O+Q+S,0.15,0.257,0.946,0.395,0.902
O+Q+S,0.2,0.290,0.933,0.194,0.959
