Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.605,0.035,0.971,0.072,0.085,0.953,0.104,0.924,0.184,0.921,--,0.921,ref
O+Q,0.716,1.314,1.500,0.070,0.106,0.967,0.187,0.950,0.244,0.928,0.349,0.922,0.646
S,0.589,0.225,1.042,0.072,0.085,0.953,0.141,0.927,1.000,0.921,--,0.921,-0.008
O+S,0.609,0.237,1.051,0.072,0.085,0.946,0.145,0.930,0.070,0.921,--,0.921,0.078
O+Q+S,0.786,0.716,1.291,0.066,0.130,0.980,0.211,0.963,0.257,0.946,0.290,0.933,0.809
