Model,Threshold,PPV,NPV,Sensitivity,Specificity
O,0.005,0.022,--,1.000,0.000
O,0.01,0.027,0.995,0.946,0.237
O,0.02,0.059,0.983,0.313,0.890
O,0.05,--,0.978,0.000,1.000
O+Q,0.005,0.022,--,1.000,0.000
O+Q,0.01,0.025,0.997,0.980,0.152
O+Q,0.02,0.068,0.984,0.362,0.890
O+Q,0.05,0.151,0.979,0.015,0.998
S,0.005,0.022,1.000,1.000,0.002
S,0.01,0.024,0.985,0.835,0.242
S,0.02,0.040,0.981,0.267,0.857
S,0.05,0.000,0.978,0.000,0.994
O+S,0.005,0.022,--,1.000,0.000
O+S,0.01,0.024,0.989,0.901,0.189
O+S,0.02,0.048,0.983,0.301,0.868
O+S,0.05,0.000,0.978,0.000,0.996
O+Q+S,0.005,0.022,--,1.000,0.000
O+Q+S,0.01,0.026,0.995,0.951,0.217
O+Q+S,0.02,0.052,0.983,0.311,0.875
O+Q+S,0.05,0.000,0.978,0.000,0.991
