Model,C_td,Cal_Intercept,Cal_Slope,Brier,PPV@5%,NPV@5%,PPV@10%,NPV@10%,PPV@15%,NPV@15%,PPV@20%,NPV@20%,NRI
O,0.591,-0.397,0.736,0.124,0.147,0.855,0.154,0.886,0.181,0.874,0.216,0.859,ref
O+Q,0.658,0.076,0.994,0.120,0.149,0.914,0.188,0.920,0.232,0.898,0.246,0.876,0.432
S,0.587,-0.131,0.880,0.124,0.147,--,0.149,0.870,0.188,0.874,0.300,0.857,-0.087
O+S,0.610,-0.301,0.797,0.124,0.147,1.000,0.159,0.899,0.195,0.882,0.260,0.867,0.079
O+Q+S,0.755,0.349,1.179,0.110,0.173,0.988,0.221,0.952,0.279,0.926,0.358,0.910,0.694
